ICCID,Device ID,Zone,Session Start Time,Data Volume (KB),Country,Carrier,Billable,Rate Plan,Service Type,Data Volume (MB),Rounded Data Volume
8931082022031645040,,KPN - Europe Economy Zone,10/31/2023 04:00 PM UTC,0.015,Greece,Nova Telecommunications (Wind),Yes,GigHub Inc EU Eco 50.000MB DATA,Standard,0.015,1.0
8931082022031645040,,KPN - Europe Economy Zone,10/31/2023 03:48 PM UTC,0.024,Greece,Nova Telecommunications (Wind),Yes,GigHub Inc EU Eco 50.000MB DATA,Standard,0.024,1.0
8931082022031645040,,KPN - Europe Economy Zone,10/31/2023 03:42 PM UTC,60.001,Greece,Nova Telecommunications (Wind),Yes,GigHub Inc EU Eco 50.000MB DATA,Standard,60.001,60.0
8931082022031645040,,KPN - Europe Economy Zone,10/31/2023 03:33 PM UTC,0.055,Greece,Nova Telecommunications (Wind),Yes,GigHub Inc EU Eco 50.000MB DATA,Standard,0.055,1.0
8931082022031645040,,KPN - Europe Economy Zone,10/31/2023 03:29 PM UTC,60.001,Greece,Nova Telecommunications (Wind),Yes,GigHub Inc EU Eco 50.000MB DATA,Standard,60.001,60.0
8931082022031645040,,KPN - Europe Economy Zone,10/31/2023 03:25 PM UTC,60.001,Greece,Nova Telecommunications (Wind),Yes,GigHub Inc EU Eco 50.000MB DATA,Standard,60.001,60.0
8931082022031645040,,KPN - Europe Economy Zone,10/31/2023 03:23 PM UTC,60.001,Greece,Nova Telecommunications (Wind),Yes,GigHub Inc EU Eco 50.000MB DATA,Standard,60.001,60.0
8931082022031645040,,KPN - Europe Economy Zone,10/31/2023 03:12 PM UTC,60.001,Greece,Nova Telecommunications (Wind),Yes,GigHub Inc EU Eco 50.000MB DATA,Standard,60.001,60.0
8931082022031645040,,KPN - Europe Economy Zone,10/31/2023 03:03 PM UTC,60.001,Greece,Nova Telecommunications (Wind),Yes,GigHub Inc EU Eco 50.000MB DATA,Standard,60.001,60.0
8931082022031645040,,KPN - Europe Economy Zone,10/31/2023 02:48 PM UTC,60.001,Greece,Nova Telecommunications (Wind),Yes,GigHub Inc EU Eco 50.000MB DATA,Standard,60.001,60.0
8931082022031645040,,KPN - Europe Economy Zone,10/31/2023 02:38 PM UTC,60.001,Greece,Nova Telecommunications (Wind),Yes,GigHub Inc EU Eco 50.000MB DATA,Standard,60.001,60.0
8931082022031645040,,KPN - Europe Economy Zone,10/31/2023 02:38 PM UTC,60.001,Greece,Nova Telecommunications (Wind),Yes,GigHub Inc EU Eco 50.000MB DATA,Standard,60.001,60.0
8931082022031645040,,KPN - Europe Economy Zone,10/31/2023 02:37 PM UTC,60.001,Greece,Nova Telecommunications (Wind),Yes,GigHub Inc EU Eco 50.000MB DATA,Standard,60.001,60.0
8931082022031645040,,KPN - Europe Economy Zone,10/31/2023 02:36 PM UTC,60.001,Greece,Nova Telecommunications (Wind),Yes,GigHub Inc EU Eco 50.000MB DATA,Standard,60.001,60.0
8931082022031645040,,KPN - Europe Economy Zone,10/31/2023 02:36 PM UTC,60.001,Greece,Nova Telecommunications (Wind),Yes,GigHub Inc EU Eco 50.000MB DATA,Standard,60.001,60.0
8931082022031645040,,KPN - Europe Economy Zone,10/31/2023 02:35 PM UTC,60.001,Greece,Nova Telecommunications (Wind),Yes,GigHub Inc EU Eco 50.000MB DATA,Standard,60.001,60.0
8931082022031645040,,KPN - Europe Economy Zone,10/31/2023 02:35 PM UTC,60.001,Greece,Nova Telecommunications (Wind),Yes,GigHub Inc EU Eco 50.000MB DATA,Standard,60.001,60.0
8931082022031645040,,KPN - Europe Economy Zone,10/31/2023 02:34 PM UTC,60.001,Greece,Nova Telecommunications (Wind),Yes,GigHub Inc EU Eco 50.000MB DATA,Standard,60.001,60.0
8931082022031645040,,KPN - Europe Economy Zone,10/31/2023 02:34 PM UTC,60.001,Greece,Nova Telecommunications (Wind),Yes,GigHub Inc EU Eco 50.000MB DATA,Standard,60.001,60.0
8931082022031645040,,KPN - Europe Economy Zone,10/31/2023 02:33 PM UTC,60.001,Greece,Nova Telecommunications (Wind),Yes,GigHub Inc EU Eco 50.000MB DATA,Standard,60.001,60.0
8931082022031645040,,KPN - Europe Economy Zone,10/31/2023 02:32 PM UTC,60.001,Greece,Nova Telecommunications (Wind),Yes,GigHub Inc EU Eco 50.000MB DATA,Standard,60.001,60.0
8931082022031645040,,KPN - Europe Economy Zone,10/31/2023 02:32 PM UTC,60.001,Greece,Nova Telecommunications (Wind),Yes,GigHub Inc EU Eco 50.000MB DATA,Standard,60.001,60.0
8931082022031645040,,KPN - Europe Economy Zone,10/31/2023 02:31 PM UTC,60.001,Greece,Nova Telecommunications (Wind),Yes,GigHub Inc EU Eco 50.000MB DATA,Standard,60.001,60.0
8931082022031645040,,KPN - Europe Economy Zone,10/31/2023 02:31 PM UTC,60.001,Greece,Nova Telecommunications (Wind),Yes,GigHub Inc EU Eco 50.000MB DATA,Standard,60.001,60.0
8931082022031645040,,KPN - Europe Economy Zone,10/31/2023 02:30 PM UTC,60.001,Greece,Nova Telecommunications (Wind),Yes,GigHub Inc EU Eco 50.000MB DATA,Standard,60.001,60.0
8931082022031645040,,KPN - Europe Economy Zone,10/31/2023 02:29 PM UTC,60.001,Greece,Nova Telecommunications (Wind),Yes,GigHub Inc EU Eco 50.000MB DATA,Standard,60.001,60.0
8931082022031645040,,KPN - Europe Economy Zone,10/31/2023 02:29 PM UTC,60.001,Greece,Nova Telecommunications (Wind),Yes,GigHub Inc EU Eco 50.000MB DATA,Standard,60.001,60.0
8931082022031645040,,KPN - Europe Economy Zone,10/31/2023 02:28 PM UTC,60.001,Greece,Nova Telecommunications (Wind),Yes,GigHub Inc EU Eco 50.000MB DATA,Standard,60.001,60.0
8931082022031645040,,KPN - Europe Economy Zone,10/31/2023 02:28 PM UTC,60.001,Greece,Nova Telecommunications (Wind),Yes,GigHub Inc EU Eco 50.000MB DATA,Standard,60.001,60.0
